ID,Name,Description
txcd_99999999,General - Tangible Goods,A physical good that can be moved or touched. Also known as tangible personal property.
txcd_20030000,General - Services,"General category for services. It should be used only when there is no more specific services category. In the European Union, the default rule for business-to-consumer sales (B2C) is the location of the seller, whereas for business-to-business sales (B2B) - the location of the buyer."
txcd_10000000,General - Electronically Supplied Services,"A digital service provided mainly through the internet with minimal human involvement, relying on information technology. Consider more specific categories like software, digital goods, cloud services, or website services for your product (especially if you sell in the US). If you stay with this category, taxes will be similar to those for a generic digital item like downloaded music."
txcd_00000000,Nontaxable,"Any nontaxable good or service which can be used to ensure no tax is applied, even for jurisdictions that impose a tax."
txcd_10010001,Infrastructure as a service (IaaS) - personal use,"Cloud service offering infrastructure resources (specifically server storage, RAM, and CPU usage) over the internet. This offering is intended for personal use, rather than for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
txcd_10101000,Infrastructure as a service (IaaS) - business use,"Cloud service offering infrastructure resources (specifically server storage, RAM, and CPU usage) over the internet. This offering is intended for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
txcd_10102000,Platform as a service (PaaS) - business use,"Cloud service providing a platform for users to develop, run, and manage applications. This offering is intended for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
txcd_10102001,Platform as a Service (PaaS) - personal use,"Cloud service providing a platform for users to develop, run, and manage applications. This offering is intended for personal use, rather than for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
txcd_10103000,Software as a service (SaaS) - personal use,"Cloud services software delivered over the internet. The software isn't customized for a specific buyer and they don't download anything. The software is intended for personal use, rather than for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
txcd_10103001,Software as a service (SaaS) - business use,Cloud services software delivered over the internet. The software isn't customized for a specific buyer and they don't download anything. The software is intended for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.
txcd_10103100,Software as a service (SaaS) - electronic download - personal use,"Cloud services software delivered over the internet. The software isn't customized for a specific buyer and this model assumes an electronic transfer to the buyer, such as an app download.  The software is intended for personal use, rather than for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
txcd_10103101,Software as a service (SaaS) - electronic download - business use,"Cloud services software delivered over the internet. The software isn't customized for a specific buyer and this model assumes an electronic transfer to the buyer, such as an app download.  The software is intended for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
txcd_10104001,Cloud-based business process as a service,Cloud service providing business process outsourcing services over the internet.
txcd_10201000,Video Games - downloaded - non subscription - with permanent rights,"Video or electronic games in the common sense that are transferred electronically. These goods are downloaded to a device with permanent access granted. This does not include games that are considered betting, gambling, lottery, etc."
txcd_10201001,Video Games - downloaded - non subscription - with limited rights,"Video or electronic games in the common sense that are transferred electronically. These goods are downloaded to a device with access that expires after a stated period of time. This does not include games that are considered betting, gambling, lottery, etc."
txcd_10201002,Video Games - downloaded - subscription - with conditional rights,"Video or electronic games in the common sense that are transferred electronically. These goods are downloaded to a device with access that is conditioned upon continued subscription payment. This does not include games that are considered betting, gambling, lottery, etc."
txcd_10201003,Video Games - streamed - non subscription - with limited rights,"Video or electronic games in the common sense that are transferred electronically. These goods are streamed to a device with access that expires after a stated period of time. This does not include games that are considered betting, gambling, lottery, etc."
txcd_10201004,Video Games - streamed - subscription - with conditional rights,"Video or electronic games in the common sense that are transferred electronically. These goods are streamed to a device with access that is conditioned upon continued subscription payment. This does not include games that are considered betting, gambling, lottery, etc."
txcd_10202000,Downloadable Software - personal use,"Prewritten (""canned"") software that the buyer downloads. The software is intended for personal use, rather than for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
txcd_10202001,Downloadable Software - non-recreational - personal use,"Prewritten (""canned"") software that the buyer downloads used for non-recreational purposes, such as antivirus, database, educational, financial, word processing, etc. The software is intended for personal use, rather than for consumption in a commercial enterprise.  Note: The distinction between business use and personal use for this tax code is relevant only if you are transacting business in the US."
txcd_10202003,Downloadable Software - business use,"Prewritten (""canned"") software that the buyer downloads. The software is intended for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
txcd_10203000,Downloadable Software - custom - personal use,"Custom software that the buyer downloads. The software is intended for personal use, rather than for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
txcd_10203001,Downloadable Software - custom - business use,Custom software that the buyer downloads. The software is intended for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.
txcd_10301000,Audiobook,"The recording of a book read aloud and sold with unlimited usage (e.g., a downloaded audio copy of The High Growth Handbook)."
txcd_10302000,Digital Books - downloaded - non subscription - with permanent rights,"Works that are generally recognized in the ordinary and usual sense as books and are transferred electronically. These goods are downloaded to a device with permanent access granted. These goods include novels, autobiographies, encyclopedias, dictionaries, repair manuals, phone directories, business directories, zip code directories, cookbooks, etc."
